"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 29일","57,663.9","57,288.1","58,228.5","57,157.7","53.44K","0.65%"
"2021년 11월 28일","57,291.5","54,758.0","57,392.3","53,448.3","49.28K","4.61%"
"2021년 11월 27일","54,765.9","53,747.2","55,280.3","53,654.3","40.71K","1.93%"
"2021년 11월 26일","53,730.9","58,937.3","59,151.1","53,533.5","104.03K","-8.83%"
"2021년 11월 25일","58,935.1","57,167.1","59,387.3","57,029.8","56.79K","3.08%"
"2021년 11월 24일","57,171.7","57,559.4","57,697.4","55,910.6","56.68K","-0.70%"
"2021년 11월 23일","57,573.2","56,304.8","57,855.1","55,542.5","72.48K","2.25%"
"2021년 11월 22일","56,308.8","58,719.7","59,288.3","55,656.8","76.45K","-4.10%"
"2021년 11월 21일","58,714.3","59,724.0","60,002.6","58,528.3","40.98K","-1.68%"
"2021년 11월 20일","59,717.6","58,080.8","59,854.6","57,435.3","44.53K","2.81%"
"2021년 11월 19일","58,083.4","56,908.3","58,335.9","55,626.3","74.44K","1.98%"
"2021년 11월 18일","56,955.3","60,368.2","60,936.9","56,524.4","100.37K","-5.65%"
"2021년 11월 17일","60,367.8","60,074.2","60,814.5","58,531.9","73.93K","0.46%"
"2021년 11월 16일","60,089.1","63,605.1","63,605.6","58,655.9","115.36K","-5.52%"
"2021년 11월 15일","63,597.9","65,514.9","66,311.2","63,439.5","53.53K","-2.92%"
"2021년 11월 14일","65,508.2","64,397.2","65,508.2","63,608.3","33.98K","1.72%"
"2021년 11월 13일","64,398.6","64,133.3","64,906.0","63,381.4","30.34K","0.41%"
"2021년 11월 12일","64,134.5","64,782.6","65,449.7","62,309.7","63.27K","-1.04%"
"2021년 11월 11일","64,806.7","64,922.8","65,583.3","64,121.9","50.37K","-0.19%"
"2021년 11월 10일","64,932.6","66,942.6","68,990.6","62,951.3","96.21K","-2.95%"
"2021년 11월 09일","66,904.4","67,528.7","68,493.3","66,334.9","66.13K","-0.92%"
"2021년 11월 08일","67,527.9","63,276.4","67,763.3","63,276.4","81.08K","6.72%"
"2021년 11월 07일","63,273.2","61,483.8","63,273.2","61,347.2","34.34K","2.91%"
"2021년 11월 06일","61,483.9","60,973.2","61,543.2","60,093.6","34.89K","0.84%"
"2021년 11월 05일","60,974.3","61,411.5","62,560.3","60,742.4","44.46K","-0.71%"
"2021년 11월 04일","61,412.6","62,915.4","63,077.6","60,742.9","49.91K","-2.39%"
"2021년 11월 03일","62,918.5","63,223.5","63,508.6","60,883.0","61.05K","-0.48%"
"2021년 11월 02일","63,221.7","60,912.2","64,256.4","60,651.5","65.26K","3.79%"
"2021년 11월 01일","60,915.3","61,310.1","62,430.1","59,612.7","61.21K","-0.64%"
"2021년 10월 31일","61,309.6","61,842.2","62,393.7","60,005.7","50.06K","-0.86%"
"2021년 10월 30일","61,840.1","62,245.0","62,338.5","60,786.0","40.51K","-0.65%"
"2021년 10월 29일","62,242.8","60,579.9","62,952.2","60,322.2","63.39K","2.74%"
"2021년 10월 28일","60,582.5","58,437.2","62,251.3","58,128.1","88.47K","3.67%"
"2021년 10월 27일","58,438.1","60,312.5","61,452.9","58,112.6","88.11K","-3.11%"
"2021년 10월 26일","60,310.8","63,067.5","63,275.1","59,907.3","57.13K","-4.37%"
"2021년 10월 25일","63,067.0","60,864.3","63,694.8","60,655.8","51.06K","3.62%"
"2021년 10월 24일","60,866.5","61,308.2","61,469.9","59,523.7","42.67K","-0.73%"
"2021년 10월 23일","61,312.5","60,693.2","61,728.7","59,738.3","37.05K","1.03%"
"2021년 10월 22일","60,690.3","62,200.8","63,699.7","60,055.7","75.69K","-2.44%"
"2021년 10월 21일","62,210.2","66,004.6","66,616.9","62,092.1","105.38K","-5.71%"
"2021년 10월 20일","65,979.1","64,276.9","66,967.1","63,543.7","79.87K","2.65%"
"2021년 10월 19일","64,278.5","62,030.2","64,454.0","61,451.0","80.16K","3.58%"
"2021년 10월 18일","62,056.3","61,525.8","62,623.6","60,026.9","80.15K","0.86%"
"2021년 10월 17일","61,527.5","60,865.5","61,651.4","59,143.4","53.39K","1.09%"
"2021년 10월 16일","60,861.1","61,669.2","62,329.2","60,161.9","49.93K","-1.32%"
