,Q1,Q2,Q3,Q4,Q5,Q6,Q25
0,24,Man,Japan,1,Software Engineer,4,2564
1,55,Man,USA,4,Software Engineer,20,17801
2,24,Man,China,2,Data Analyst,0.5,741
3,30,Woman,USA,4,Data Scientist,5,100644
4,43,Man,USA,3,Research Scientist,0.5,77390
5,30,Man,Japan,4,Data Scientist,1,43236
6,34,Prefer not to say,China,0,Data Analyst,0.5,185
7,52,Man,USA,4,Data Engineer,28,377002
8,23,Man,China,4,Business Analyst,0.5,21862
9,37,Man,USA,5,Research Scientist,18,238041
10,26,Man,USA,4,Data Scientist,1,70006
11,59,Man,USA,3,Software Engineer,28,129793
12,30,Man,USA,4,Business Analyst,2,66991
13,56,Man,USA,3,Other,3,73132
14,44,Woman,USA,4,Other,10,29758
15,55,Man,USA,4,Data Scientist,20,106196
16,70,Man,USA,4,Other,5,253192
17,70,Woman,USA,4,Data Analyst,21,103628
18,68,Man,USA,4,Product Manager,26,81174
19,31,Man,USA,4,Data Scientist,20,279268
20,33,Man,USA,4,Business Analyst,0,100843
21,40,Man,Japan,3,Business Analyst,0,71928
22,55,Man,USA,4,Data Scientist,23,247875
23,33,Man,USA,2,Other,0.5,49954
24,26,Man,Japan,1,Machine Learning Engineer,6,63134
25,22,Man,China,4,Data Scientist,2,255
26,51,Man,Japan,4,Software Engineer,22,135071
27,22,Man,USA,4,Other,5,75281
28,60,Man,USA,4,Software Engineer,25,121634
29,30,Man,China,4,Machine Learning Engineer,3,3061
30,24,Man,South Korea,3,Other,2,3292
31,51,Man,USA,3,Software Engineer,29,251985
32,39,Woman,USA,4,Data Scientist,11,165162
33,34,Woman,USA,4,Data Engineer,0,96
34,23,Man,China,3,Data Analyst,3,19095
35,42,Man,Japan,4,Other,20,104254
36,43,Man,Japan,3,Data Scientist,0.5,1543
37,24,Man,China,2,Machine Learning Engineer,3,697
38,31,Man,USA,4,Data Scientist,8,175207
39,36,Man,USA,3,Business Analyst,6,71114
40,52,Man,South Korea,4,Program/Project Manager,22,60004
41,45,Man,Japan,4,Other,18,61935
42,35,Man,USA,4,Data Scientist,15,102560
43,53,Woman,USA,5,Data Scientist,3,92386
44,50,Man,USA,3,Product Manager,28,178071
45,21,Woman,USA,4,Other,10,338
46,34,Woman,USA,3,Data Analyst,0.5,28425
47,32,Man,USA,3,Program/Project Manager,11,183373
48,33,Man,USA,3,Program/Project Manager,1,105693
49,28,Man,USA,4,Data Analyst,0.5,145032
50,18,Man,Japan,3,Program/Project Manager,1,723
51,37,Man,USA,4,Data Analyst,18,146724
52,18,Man,China,4,Business Analyst,10,422
53,50,Man,Japan,0,Other,0.5,76817
54,28,Woman,Japan,4,Other,5,702
55,39,Man,South Korea,3,Software Engineer,20,52432
56,54,Woman,USA,5,Data Scientist,16,77674
57,32,Man,USA,3,Data Scientist,9,126524
58,47,Man,USA,2,Data Engineer,5,113348
59,67,Man,USA,3,Other,1,182317
60,49,Man,South Korea,5,Product Manager,0.5,88695
61,25,Man,USA,5,Research Scientist,5,35040
62,39,Woman,USA,4,Data Scientist,4,148708
63,50,Man,South Korea,4,Machine Learning Engineer,17,10563
64,38,Man,China,3,Data Analyst,0.5,27375
65,39,Man,USA,5,Software Engineer,17,290085
66,58,Man,USA,5,Data Engineer,24,189894
67,40,Man,Japan,3,Other,1,83344
68,36,Man,USA,5,Other,13,82138
69,38,Man,USA,4,Software Engineer,0.5,58659
70,34,Man,Japan,2,Business Analyst,0.5,753
71,27,Man,Japan,4,Machine Learning Engineer,9,4639
72,52,Man,USA,4,Data Scientist,8,82032
73,40,Man,Japan,5,Research Scientist,11,78868
74,21,Woman,China,0,Data Analyst,2,739
75,37,Woman,USA,4,Other,0.5,19946
76,37,Man,China,4,Business Analyst,3,388
77,33,Man,USA,4,Data Scientist,18,212101
78,57,Man,USA,4,Other,0,323907
79,43,Woman,USA,3,Other,0,14582
80,39,Woman,USA,5,Research Scientist,3,66765
81,63,Man,USA,3,Program/Project Manager,23,63426
82,23,Man,USA,3,Data Analyst,3,109473
83,48,Man,Japan,3,Program/Project Manager,15,70634
84,41,Prefer not to say,Japan,5,Machine Learning Engineer,28,47467
85,38,Man,USA,5,Data Scientist,0.5,355
86,42,Woman,USA,3,Software Engineer,12,88926
87,62,Man,USA,4,Machine Learning Engineer,22,125936
88,54,Man,USA,5,Data Scientist,8,113518
89,53,Man,USA,2,DBA/Database Engineer,21,188682
